eid/I,type/S,id/I,peaktime/F,chan/F,peakamp/F,sumadc/F,view/I,wire/S
1,pmtrack,0,1506.45,132,48.487,724.583,0,C:0 T:0 P:0 W:132
1,pmtrack,0,1501.37,131,19.7431,461.965,0,C:0 T:0 P:0 W:131
1,pmtrack,0,1512.35,130,8.46552,194.732,0,C:0 T:0 P:0 W:130
1,pmtrack,0,1508.53,369,13.2191,192.482,1,C:0 T:0 P:1 W:129
1,pmtrack,0,1513.47,129,8.85346,135.981,0,C:0 T:0 P:0 W:129
1,pmtrack,0,1519.69,368,11.4093,173.319,1,C:0 T:0 P:1 W:128
1,pmtrack,0,1517.19,128,8.6917,125.778,0,C:0 T:0 P:0 W:128
1,pmtrack,0,1521,367,10.6517,178.272,1,C:0 T:0 P:1 W:127
1,pmtrack,0,1520.57,127,7.12778,103.499,0,C:0 T:0 P:0 W:127
1,pmtrack,0,1523.6,366,10.4078,178.875,1,C:0 T:0 P:1 W:126
1,pmtrack,0,1521.42,126,7.8287,140.461,0,C:0 T:0 P:0 W:126
1,pmtrack,0,1526.27,365,22.5028,381.602,1,C:0 T:0 P:1 W:125
1,pmtrack,0,1522.03,125,12.1889,196.262,0,C:0 T:0 P:0 W:125
1,pmtrack,0,1528.71,364,20.2306,327.837,1,C:0 T:0 P:1 W:124
1,pmtrack,0,1524.53,124,9.69617,144.979,0,C:0 T:0 P:0 W:124
1,pmtrack,0,1528.37,123,7.28012,115.623,0,C:0 T:0 P:0 W:123
1,pmtrack,0,1530.99,362,24.031,388.535,1,C:0 T:0 P:1 W:122
1,pmtrack,0,1526.61,122,12.7304,215.186,0,C:0 T:0 P:0 W:122
1,pmtrack,0,1533.63,361,25.5295,452.175,1,C:0 T:0 P:1 W:121
1,pmtrack,0,1526.56,121,12.7759,242.328,0,C:0 T:0 P:0 W:121
1,pmtrack,0,1530.91,360,8.76742,160.934,1,C:0 T:0 P:1 W:120
