eid/I,type/S,id/I,index/I,x/F,y/F,z/F,dirx/F,diry/F,dirz/F,p/F
1,pmtrack,0,0,29.4108,-1.02638,50.6487,0.10971,0.035345,-0.993335,0
1,pmtrack,0,1,29.4585,-1.01102,50.217,0.10971,0.035345,-0.993335,0
1,pmtrack,0,2,29.5111,-0.994092,49.7413,0.10971,0.035345,-0.993335,0
1,pmtrack,0,3,29.541,-0.984435,49.4699,0.10971,0.035345,-0.993335,0
1,pmtrack,0,4,29.5606,-0.978127,49.2927,0.10971,0.035345,-0.993335,0
1,pmtrack,0,5,29.5959,-0.966758,48.9731,0.10971,0.035345,-0.993335,0
1,pmtrack,0,6,29.611,-0.961909,48.8369,0.10971,0.035345,-0.993335,0
1,pmtrack,0,7,29.6475,-0.95012,48.5055,0.10971,0.035345,-0.993335,0
1,pmtrack,0,8,29.6612,-0.945724,48.382,0.10971,0.035345,-0.993335,0
1,pmtrack,0,9,29.6996,-0.933347,48.0341,0.10971,0.035345,-0.993335,0
1,pmtrack,0,10,29.7107,-0.929785,47.9341,0.10971,0.035345,-0.993335,0
1,pmtrack,0,11,29.7517,-0.916565,47.5625,0.10971,0.035345,-0.993335,0
1,pmtrack,0,12,29.7601,-0.91387,47.4868,0.106923,0.0344892,-0.993669,0
1,pmtrack,0,13,29.8024,-0.9002,47.0929,0.0763253,0.0250925,-0.996767,0
1,pmtrack,0,14,29.807,-0.898692,47.033,0.0763253,0.0250925,-0.996767,0
1,pmtrack,0,15,29.8422,-0.88713,46.5738,0.0763253,0.0250925,-0.996767,0
1,pmtrack,0,16,29.874,-0.876673,46.1584,0.0763253,0.0250925,-0.996767,0
1,pmtrack,0,17,29.8765,-0.875842,46.1253,0.0763253,0.0250925,-0.996767,0
1,pmtrack,0,18,29.91,-0.864833,45.688,0.0763253,0.0250925,-0.996767,0
1,pmtrack,0,19,29.9111,-0.86447,45.6736,0.0763253,0.0250925,-0.996767,0
1,pmtrack,0,20,29.9452,-0.853268,45.2286,0.0763253,0.0250925,-0.996767,0
1,pmtrack,0,21,29.9464,-0.852868,45.2127,0.0763253,0.0250925,-0.996767,0
1,pmtrack,0,22,29.9813,-0.841384,44.7565,0.0763253,0.0250925,-0.996767,0
1,pmtrack,0,23,29.9815,-0.84134,44.7548,0.0763253,0.0250925,-0.996767,0
1,pmtrack,0,24,30.016,-0.829981,44.3036,0.0763253,0.0250925,-0.996767,0
