id/I,peaktime/F,chan/F,peakamp/F,sumadc/F,view/I,wire/S,index/I,x/F,y/F,z/F,dirx/F,diry/F,dirz/F,p/F
0,1506.45,132,48.487,724.583,0,C:0 T:0 P:0 W:132,0,29.4108,-1.02638,50.6487,0.10971,0.035345,-0.993335,0
0,1501.37,131,19.7431,461.965,0,C:0 T:0 P:0 W:131,1,29.4585,-1.01102,50.217,0.10971,0.035345,-0.993335,0
0,1512.35,130,8.46552,194.732,0,C:0 T:0 P:0 W:130,2,29.5111,-0.994092,49.7413,0.10971,0.035345,-0.993335,0
0,1508.53,369,13.2191,192.482,1,C:0 T:0 P:1 W:129,3,29.541,-0.984435,49.4699,0.10971,0.035345,-0.993335,0
0,1513.47,129,8.85346,135.981,0,C:0 T:0 P:0 W:129,4,29.5606,-0.978127,49.2927,0.10971,0.035345,-0.993335,0
0,1519.69,368,11.4093,173.319,1,C:0 T:0 P:1 W:128,5,29.5959,-0.966758,48.9731,0.10971,0.035345,-0.993335,0
0,1517.19,128,8.6917,125.778,0,C:0 T:0 P:0 W:128,6,29.611,-0.961909,48.8369,0.10971,0.035345,-0.993335,0
0,1521.0,367,10.6517,178.272,1,C:0 T:0 P:1 W:127,7,29.6475,-0.95012,48.5055,0.10971,0.035345,-0.993335,0
0,1520.57,127,7.12778,103.499,0,C:0 T:0 P:0 W:127,8,29.6612,-0.945724,48.382,0.10971,0.035345,-0.993335,0
0,1523.6,366,10.4078,178.875,1,C:0 T:0 P:1 W:126,9,29.6996,-0.933347,48.0341,0.10971,0.035345,-0.993335,0
0,1521.42,126,7.8287,140.461,0,C:0 T:0 P:0 W:126,10,29.7107,-0.929785,47.9341,0.10971,0.035345,-0.993335,0
0,1526.27,365,22.5028,381.602,1,C:0 T:0 P:1 W:125,11,29.7517,-0.916565,47.5625,0.10971,0.035345,-0.993335,0
0,1522.03,125,12.1889,196.262,0,C:0 T:0 P:0 W:125,12,29.7601,-0.91387,47.4868,0.106923,0.0344892,-0.993669,0
0,1528.71,364,20.2306,327.837,1,C:0 T:0 P:1 W:124,13,29.8024,-0.9002,47.0929,0.0763253,0.0250925,-0.996767,0
0,1524.53,124,9.69617,144.979,0,C:0 T:0 P:0 W:124,14,29.807,-0.898692,47.033,0.0763253,0.0250925,-0.996767,0
0,1528.37,123,7.28012,115.623,0,C:0 T:0 P:0 W:123,15,29.8422,-0.88713,46.5738,0.0763253,0.0250925,-0.996767,0
0,1530.99,362,24.031,388.535,1,C:0 T:0 P:1 W:122,16,29.874,-0.876673,46.1584,0.0763253,0.0250925,-0.996767,0
0,1526.61,122,12.7304,215.186,0,C:0 T:0 P:0 W:122,17,29.8765,-0.875842,46.1253,0.0763253,0.0250925,-0.996767,0
0,1533.63,361,25.5295,452.175,1,C:0 T:0 P:1 W:121,18,29.91,-0.864833,45.688,0.0763253,0.0250925,-0.996767,0
0,1526.56,121,12.7759,242.328,0,C:0 T:0 P:0 W:121,19,29.9111,-0.86447,45.6736,0.0763253,0.0250925,-0.996767,0
0,1530.91,360,8.76742,160.934,1,C:0 T:0 P:1 W:120,20,29.9452,-0.853268,45.2286,0.0763253,0.0250925,-0.996767,0
0,1531.23,120,8.77948,155.2,0,C:0 T:0 P:0 W:120,21,29.9464,-0.852868,45.2127,0.0763253,0.0250925,-0.996767,0
0,1533.48,119,9.79713,159.215,0,C:0 T:0 P:0 W:119,22,29.9813,-0.841384,44.7565,0.0763253,0.0250925,-0.996767,0
